215,Penn State Scandal,2012,7,23,events
216,Trayvon Martin shooting,2012,3,27,events
217,Pussy Riots,2012,8,17,events
218,Cory Monteith,2013,7,14,music_artists
219,Amanda Bynes,2013,5,24,music_artists
220,James Gandolfini,2013,6,20,music_artists
221,Charlie Hunnam,2013,9,3,music_artists
222,Robin Thicke,2013,8,26,music_artists
223,Lea Michele,2013,7,14,music_artists
224,Miley Cyrus,2013,8,26,music_artists
225,Mindy McCready,2013,2,18,music_artists
226,Daft Punk,2013,5,14,music_artists
227,Dakota Johnson,2013,9,3,music_artists
228,Adele,2015,11,20,music_artists
229,Sia,2015,2,9,music_artists
230,Eagles of Death Metal,2015,11,14,music_artists
231,Sam Smith,2015,2,9,music_artists
232,Meghan Trainor,2015,11,23,music_artists
233,Fetty Wap,2015,9,26,music_artists
234,N.W.A,2015,8,16,music_artists
235,Eazy-E,2015,8,17,music_artists
236,Hozier,2015,2,9,music_artists
237,Chris Stapleton,2015,11,5,music_artists
238,Céline Dion,2016,1,15,music_artists
239,Kesha,2016,2,20,music_artists
240,Michael Bublé,2016,10,21,music_artists
241,Creed,2016,12,25,music_artists
242,'ディーン フジオカ (Dean Fujioka),2016,1,12,music_artists
243,Kehlani,2016,3,29,music_artists
244,Teyana Taylor,2016,8,29,music_artists
245,Grace Vanderwaal,2016,9,15,music_artists
246,Ozuna,2016,11,19,music_artists
247,Lukas Graham,2016,4,2,music_artists0,Myspace,2005,12,24,trending
1,Ares,2005,10,15,trending
2,Baidu,2005,12,25,trending
3,Wikipedia,2005,12,11,trending
4,Orkut,2005,9,13,trending
5,iTunes,2005,12,25,trending
6,Sky News,2005,7,7,trending
7,World of Warcraft,2005,3,25,trending
8,Green Day,2005,2,19,trending
9,Leonardo da Vinci,2005,4,15,trending
10,iPhone,2007,1,10,popular
11,Badoo,2007,12,29,popular
12,Facebook,2007,12,24,popular
13,Dailymotion,2007,12,22,popular
14,Webkinz,2007,12,25,popular
15,YouTube,2007,12,22,popular
16,eBuddy,2007,9,25,popular
17,Second Life,2007,1,31,popular
18,Hi5,2007,12,15,popular
19,Club Penguin,2007,12,22,popular
20,Whitney Houston,2012,2,12,music_artists
21,Michael Clarke Duncan,2012,9,4,music_artists
22,One Direction,2012,11,3,music_artists
